ID,CODIGO_VENTA,MATERIAL,CICLO,SUBCICLO,FECHA_CAPTACION,TIPO,UNIDADES,VENTA ONLINE,COD_LINEA_SEPARACION,LINEA_SEPARACION,COD_CANAL_DISTRIBUCION,CANAL_DISTRIBUCION
160918cbb8230e718fbfff9c5f2a186b,72139,50277633,202114b,2o SubCiclo,2021-10-26,Venta Normal,1,No,6.0,Knapp – Abastecimiento e balanzas automáticas,3,Plaza
160f6f9e75ff17eb9e28edca803c4384,41638,50319138,202114b,2o SubCiclo,2021-10-26,Venta Normal,4,No,6.0,Knapp – Abastecimiento e balanzas automáticas,3,Plaza
161a3f1f84ab9022fbb89c3ffc97da59,67666,50322532,202115,,2021-10-25,Regalo,1,No,7.0,Knapp PTL,3,Plaza
161ed00da275264866901efc46a2af0c,94223,50300009,202114b,2o SubCiclo,2021-10-25,Venta Normal,1,No,,,3,Plaza
1626b0cb87b0b4370fc9fc1e8bdd9f23,74078,50284028,202114b,2o SubCiclo,2021-10-26,Venta Normal,1,No,6.0,Knapp – Abastecimiento e balanzas automáticas,3,Plaza
1626db2034cec4fdb420bd9d18446771,70962,50273520,202114b,2o SubCiclo,2021-10-25,Venta com Descuento,9,No,,,3,Plaza
162db298d7ff8a24cf95f0cced2c37ef,81949,50231297,202115,,2021-10-25,Venta Normal,16,No,7.0,Knapp PTL,3,Plaza
1636410d478191b6809ebb3337f34286,104430,50349247,202115,,2021-10-26,Venta Normal,5,No,,,3,Plaza
1651d9502eeb03530cd6abde9b9c10dd,65113,50203349,202114b,2o SubCiclo,2021-10-25,Venta Normal,1,No,6.0,Knapp – Abastecimiento e balanzas automáticas,3,Plaza
166055ec2994aa4b56fc55e4d57d5026,86180,50295994,202115,,2021-10-25,Venta Normal,28,No,6.0,Knapp – Abastecimiento e balanzas automáticas,3,Plaza
1664478cb3b147251926b1ec7ad64f19,99904,50316634,202115,,2021-10-26,Venta Normal,31,No,,,3,Plaza
168f468c1e93106eb043d2e7b67764bc,73573,50282170,202115,,2021-10-26,Venta Normal,16,No,,,3,Plaza
16926c365c576ace504d97d149e2cde0,104759,50349983,202114b,2o SubCiclo,2021-10-25,Venta Normal,4,No,,,3,Plaza
1693b629b0b5d4eb20f4e87f86bcf94e,14575,50202088,202114b,2o SubCiclo,2021-10-26,Venta Normal,3,No,6.0,Knapp – Abastecimiento e balanzas automáticas,3,Plaza
1694f559c4373946b9ed25907b001c24,93269,50265483,202114b,2o SubCiclo,2021-10-25,Reclamo,3,No,,,3,Plaza
169b71c0692c152de4b95f72eb006ec3,83322,50308223,202115,,2021-10-26,Reclamo,1,No,,,3,Plaza
16a2d8da43139d3a13e74d04516e1f75,75953,50290034,202114b,2o SubCiclo,2021-10-26,Regalo,2,No,6.0,Knapp – Abastecimiento e balanzas automáticas,3,Plaza
